Name,Region,Population (rounded)*,Postcode,Ethnic Breakdown 2016,Median House Price (2020),Median House Price (2021),% Change,Median House Rent (per week),Median Apartment Price (2020),Median Apartment Rent (per week),Public Housing %,Avg. Years Held,Time to CBD (Public Transport) [Town Hall St],Time to CBD (Driving) [Town Hall St],Nearest Train Station,Highlights/Attractions,Ideal for,Traffic,Public Transport,Affordability (Rental),Affordability (Buying),Nature,Noise,Things to See/Do,Family-Friendliness,Pet Friendliness,Safety,Overall Rating,Review Link
Westmead,Western Suburbs,"16,500",2145,"Indian 37.1%, Chinese 7.6%, English 6.6%, Australian 5.9%, Sri Lankan 2.4%","$1,100,000.00","$1,500,000.00",36.36%,$485.00,"$565,000.00",$445.00,8%,17.8,35 minutes,35 minutes,Westmead,,,0,0,0,0,0,0,0,0,0,0,0,
Glenwood,Hills Shire,"16,250",2768,"Australian 15.4%, Indian 15.4%, English 13.7%, Chinese 5.6%, Filipino 5.5%","$990,000.00","$1,200,000.00",21.21%,$600.00,,,0%,11.4,60 minutes,40 minutes,Bella Vista (metro),,,0,0,0,0,0,0,0,0,0,0,0,
Cranebrook,Western Suburbs,"16,000",2749,"Australian 30.5%, English 27.6%, Irish 8.0%, Scottish 5.7%, Maltese 3.3%","$625,000.00","$750,000.00",20.00%,$450.00,"$515,000.00",$390.00,9%,12.3,95 minutes,55 minutes,Penrith,,,0,0,0,0,0,0,0,0,0,0,0,
Casula,Western Suburbs,"15,750",2170,"Australian 11.8%, English 10.9%, Lebanese 6.6%, Italian 5.9%, Indian 5.7%","$750,000.00","$900,000.00",20.00%,$490.00,"$580,000.00",$450.00,6%,11.4,65 minutes,45 minutes,Casula,,,0,0,0,0,0,0,0,0,0,0,0,
Coogee,Eastern Suburbs,"15,500",2034,"English 22.6%, Australian 16.3%, Irish 11.8%, Scottish 6.3%, Chinese 3.9%","$2,600,000.00","$3,200,000.00",23.08%,"$1,250.00","$1,200,000.00",$690.00,1%,10.7,30 minutes,20 minutes,None,,,0,0,0,0,0,0,0,0,0,0,0,
Granville,Western Suburbs,"15,500",2142,"Chinese 11.0%, Lebanese 10.7%, Indian 10.1%, English 7.9%, Australian 7.3%","$730,000.00","$875,000.00",19.86%,$490.00,"$435,000.00",$415.00,8%,11.3,35 minutes,30 minutes,Granville,,,0,0,0,0,0,0,0,0,0,0,0,
Prestons,Western Suburbs,"15,500",2170,"Australian 12.0%, Indian 9.6%, English 9.4%, Italian 4.4%, Lebanese 4.3%","$735,000.00","$850,000.00",15.65%,$550.00,,$450.00,1%,10.9,95 minutes,45 minutes,Casula,,,0,0,0,0,0,0,0,0,0,0,0,
Ingleburn,South West,"15,000",2565,"Australian 18.9%, English 18.3%, Indian 6.1%, Irish 5.4%, Scottish 4.4%","$645,000.00","$750,000.00",16.28%,$415.00,"$410,000.00",$365.00,6%,13.1,55 minutes,50 minutes,Ingleburn,,,0,0,0,0,0,0,0,0,0,0,0,
Rooty Hill,Western Suburbs,"15,000",2766,"Filipino 18.2%, Australian 13.2%, English 12.2%, Indian 6.9%, Chinese 3.3%","$660,000.00","$750,000.00",13.64%,$430.00,"$570,000.00",$435.00,4%,14,50 minutes,45 minutes,Rooty Hill,,,0,0,0,0,0,0,0,0,0,0,0,
Toongabbie,Western Suburbs,"14,500",2146,"Australian 16.1%, English 14.7%, Indian 14.4%, Chinese 5.5%, Irish 4.9%","$810,000.00","$1,000,000.00",23.46%,$450.00,"$550,000.00",$440.00,5%,14.1,40 minutes,35 minutes,Toongabbie,,,0,0,0,0,0,0,0,0,0,0,0,
Macquarie Fields,South West,"14,000",2564,"Australian 18.7%, English 16.8%, Indian 6.5%, Bangladeshi 4.2%, Irish 4.0%","$575,000.00","$700,000.00",21.74%,$390.00,"$430,000.00",$360.00,24%,16.1,50 minutes,50 minutes,Macquarie Fields,,,0,0,0,0,0,0,0,0,0,0,0,
Doonside,Western Suburbs,"13,500",2767,"Australian 18.2%, English 15.4%, Filipino 9.2%, Indian 6.2%, Irish 4.0%","$630,000.00","$730,000.00",15.87%,$400.00,"$530,000.00",$360.00,24%,12.2,45 minutes,40 minutes,Doonside,,,0,0,0,0,0,0,0,0,0,0,0,
Frenchs Forest,Northern Beaches,"13,500",2086,"English 28.2%, Australian 24.1%, Irish 9.1%, Scottish 7.4%, Chinese 3.8%","$1,550,000.00","$1,850,000.00",19.35%,$900.00,,$520.00,0%,13.6,50 minutes,30 minutes,Roseville,,,0,0,0,0,0,0,0,0,0,0,0,
Marsfield,North Shore,"13,500",2122,"Chinese 28.7%, English 13.5%, Australian 12.1%, Irish 4.8%, Italian 4.0%","$1,650,000.00","$1,950,000.00",18.18%,$715.00,"$800,000.00",$510.00,3%,10.8,55 minutes,25 minutes,Eastwood,,,0,0,0,0,0,0,0,0,0,0,0,
Penrith,Western Suburbs,"13,500",2750,"English 25.5%, Australian 24.5%, Irish 8.6%, Scottish 6.4%, German 2.5%","$630,000.00","$750,000.00",19.05%,$410.00,"$450,000.00",$380.00,11%,10.6,60 minutes,50 minutes,Penrith,,,0,0,0,0,0,0,0,0,0,0,0,
West Ryde,North Shore,"13,500",2114,"Chinese 19.4%, English 12.9%, Australian 12.4%, Korean 7.0%, Indian 6.2%","$1,500,000.00","$1,750,000.00",16.67%,$610.00,"$630,000.00",$410.00,4%,14.2,30 minutes,25 minutes,West Ryde,,,0,0,0,0,0,0,0,0,0,0,0,
Belmore,Western Suburbs,"13,000",2192,"Greek 13.4%, Lebanese 9.5%, Chinese 8.7%, Australian 8.1%, English 8.0%","$1,000,000.00","$1,300,000.00",30.00%,$575.00,"$540,000.00",$390.00,5%,16.1,30 minutes,25 minutes,Belmore,,,0,0,0,0,0,0,0,0,0,0,0,
Campbelltown,Western Suburbs,"13,000",2560,"English 22.7%, Australian 22.1%, Irish 6.8%, Scottish 5.3%, Indian 2.5%","$560,000.00","$650,000.00",16.07%,$400.00,"$430,000.00",$380.00,8%,11.3,65 minutes,50 minutes,Campbelltown,,,0,0,0,0,0,0,0,0,0,0,0,
Chester Hill,Western Suburbs,"13,000",2162,"Lebanese 16.6%, Australian 12.6%, English 10.4%, Vietnamese 10.0%, Chinese 9.9%","$790,000.00","$900,000.00",13.92%,$500.00,"$545,000.00",$415.00,16%,10.9,45 minutes,35 minutes,Chester Hill,,,0,0,0,0,0,0,0,0,0,0,0,
Minto,South West,"12,750",2566,"Australian 16.4%, English 14.7%, Indian 7.1%, Bangladeshi 6.2%, Irish 4.6%","$610,000.00","$720,000.00",18.03%,$415.00,"$420,000.00",$340.00,14%,10.4,60 minutes,50 minutes,Minto,,,0,0,0,0,0,0,0,0,0,0,0,
Smithfield,Western Suburbs,"12,250",2164,"Australian 11.4%, English 9.3%, Italian 7.8%, Vietnamese 7.1%, Assyrian 7.0%","$710,000.00","$840,000.00",18.31%,$450.00,"$600,000.00",$380.00,9%,15.3,70 minutes,40 minutes,Fairfield,,,0,0,0,0,0,0,0,0,0,0,0,
St Marys,Western Suburbs,"12,250",2760,"Australian 20.4%, English 20.0%, Irish 5.8%, Scottish 4.7%, Filipino 4.0%","$585,000.00","$720,000.00",23.08%,$370.00,"$445,000.00",$360.00,8%,12,60 minutes,50 minutes,St Marys,,,0,0,0,0,0,0,0,0,0,0,0,
"Ponds, The",Hills Shire,"12,000",2769,"Indian 17.8%, Australian 14.7%, English 13.4%, Chinese 5.1%, Filipino 5.1%","$975,000.00","$1,200,000.00",23.08%,$630.00,"$770,000.00",$450.00,0%,5.6,90 minutes,45 minutes,Tallawong (metro),,,0,0,0,0,0,0,0,0,0,0,0,
Condell Park,Western Suburbs,"11,750",2200,"Lebanese 22.8%, Vietnamese 11.6%, Australian 11.3%, English 8.6%, Greek 4.6%","$875,000.00","$1,050,000.00",20.00%,$600.00,"$655,000.00",$530.00,3%,12.5,60 minutes,35 minutes,Bankstown,,,0,0,0,0,0,0,0,0,0,0,0,
Mount Annan,South West,"11,750",2567,"Australian 27.7%, English 25.7%, Irish 7.6%, Scottish 6.3%, Italian 3.2%","$740,000.00","$825,000.00",11.49%,$480.00,,$350.00,1%,10.5,110 minutes,60 minutes,Campbelltown,,,0,0,0,0,0,0,0,0,0,0,0,
Winston Hills,Western Suburbs,"11,750",2153,"Australian 23.1%, English 21.2%, Irish 8.0%, Scottish 6.0%, Chinese 5.4%","$975,000.00","$1,250,000.00",28.21%,$555.00,"$610,000.00",$490.00,0%,16.3,55 minutes,35 minutes,Toongabbie,,,0,0,0,0,0,0,0,0,0,0,0,
Cremorne,Lower North Shore,"11,500",2090,"English 25.8%, Australian 16.6%, Irish 10.2%, Scottish 7.4%, Chinese 5.2%","$2,550,000.00","$3,200,000.00",25.49%,"$1,160.00","$1,100,000.00",$625.00,1%,12.9,25 minutes,15 minutes,None,,,0,0,0,0,0,0,0,0,0,0,0,
Hinchinbrook,Western Suburbs,"11,500",2168,"Australian 10.6%, English 8.6%, Vietnamese 6.6%, Italian 5.8%, Indian 5.3%","$720,000.00","$840,000.00",16.67%,$490.00,,$400.00,2%,13.9,95 minutes,45 minutes,Liverpool,,,0,0,0,0,0,0,0,0,0,0,0,
Northmead,Western Suburbs,"11,250",2152,"English 20.0%, Australian 19.0%, Irish 7.3%, Chinese 6.0%, Scottish 5.2%","$970,000.00","$1,200,000.00",23.71%,$505.00,"$590,000.00",$435.00,6%,12.8,55 minutes,35 minutes,Parramatta,,,0,0,0,0,0,0,0,0,0,0,0,
Pymble,Upper North Shore,"11,250",2073,"English 22.8%, Australian 18.8%, Chinese 15.0%, Irish 7.8%, Scottish 6.5%","$2,300,000.00","$2,800,000.00",21.74%,"$1,110.00","$930,000.00",$610.00,0%,14.5,35 minutes,25 minutes,Pymble,,,0,0,0,0,0,0,0,0,0,0,0,
Bellevue Hill,Eastern Suburbs,"11,000",2023,"English 20.9%, Australian 17.3%, Irish 7.8%, Scottish 6.0%, Chinese 3.3%","$4,500,000.00","$6,000,000.00",33.33%,"$2,250.00","$1,200,000.00",$690.00,0%,11.3,35 minutes,15 minutes,Edgecliff,,,0,0,0,0,0,0,0,0,0,0,0,
Ermington,North Shore,"11,000",2115,"Australian 17.3%, English 17.2%, Chinese 11.4%, Irish 6.5%, Lebanese 5.1%","$1,200,000.00","$1,400,000.00",16.67%,$570.00,"$725,000.00",$510.00,17%,11.7,50 minutes,30 minutes,Meadowbank,,,0,0,0,0,0,0,0,0,0,0,0,
Harrington Park,South West,"10,750",2567,"Australian 24.9%, English 24.3%, Italian 7.1%, Irish 7.0%, Scottish 5.5%","$920,000.00","$1,100,000.00",19.57%,$550.00,,,0%,7.8,120 minutes,60 minutes,Campbelltown,,,0,0,0,0,0,0,0,0,0,0,0,
Mona Vale,Northern Beaches,"10,750",2103,"English 31.5%, Australian 24.4%, Irish 8.9%, Scottish 7.6%, German 2.9%","$1,850,000.00","$2,400,000.00",29.73%,$870.00,"$1,100,000.00",$615.00,0%,13.7,55 minutes,45 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Sylvania,Sutherland Shire,"10,750",2224,"English 22.5%, Australian 21.4%, Greek 7.7%, Irish 7.1%, Scottish 5.6%","$1,250,000.00","$1,600,000.00",28.00%,$755.00,"$845,000.00",$510.00,3%,11.8,50 minutes,40 minutes,Miranda,,,0,0,0,0,0,0,0,0,0,0,0,
Canley Vale,Western Suburbs,"10,500",2166,"Vietnamese 29.0%, Chinese 22.5%, English 5.6%, Australian 5.3%, Khmer (Cambodian) 5.0%","$815,000.00","$950,000.00",16.56%,$430.00,"$390,000.00",$330.00,9%,11.7,50 minutes,45 minutes,Canley Vale,,,0,0,0,0,0,0,0,0,0,0,0,
Rose Bay,Eastern Suburbs,"10,500",2029,"English 19.9%, Australian 16.3%, Irish 7.4%, Scottish 5.5%, South African 4.8%","$3,800,000.00","$4,200,000.00",10.53%,"$1,690.00","$1,250,000.00",$660.00,0%,11,35 minutes,20 minutes,Edgecliff,,,0,0,0,0,0,0,0,0,0,0,0,
Beverly Hills,Southern Suburbs,"10,250",2209,"Chinese 26.5%, English 10.5%, Australian 10.4%, Greek 8.5%, Italian 4.4%","$1,200,000.00","$1,350,000.00",12.50%,$600.00,"$660,000.00",$460.00,6%,14.9,40 minutes,25 minutes,Beverly Hills,,,0,0,0,0,0,0,0,0,0,0,0,
Wiley Park,Western Suburbs,"10,250",2195,"Bangladeshi 12.0%, Lebanese 10.8%, Australian 6.6%, Chinese 6.5%, English 5.3%","$775,000.00","$930,000.00",20.00%,$510.00,"$385,000.00",$355.00,3%,15.4,35 minutes,30 minutes,Wiley Park,,,0,0,0,0,0,0,0,0,0,0,0,
Avalon Beach,Northern Beaches,"10,000",2107,"English 34.6%, Australian 24.6%, Irish 10.7%, Scottish 8.8%, German 2.9%","$1,900,000.00","$2,250,000.00",18.42%,$850.00,"$790,000.00",$550.00,0%,8.6,95 minutes,55 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Glenfield,Western Suburbs,"10,000",2167,"Australian 13.7%, English 13.2%, Indian 12.4%, Chinese 6.2%, Filipino 4.0%","$685,000.00","$800,000.00",16.79%,$485.00,"$455,000.00",$380.00,5%,8.8,45 minutes,40 minutes,Glenfield,,,0,0,0,0,0,0,0,0,0,0,0,
Leumeah,South West,"10,000",2560,"Australian 23.0%, English 22.7%, Irish 6.8%, Scottish 5.6%, Indian 3.4%","$590,000.00","$680,000.00",15.25%,$385.00,"$380,000.00",$345.00,10%,12.7,60 minutes,50 minutes,Leumeah,,,0,0,0,0,0,0,0,0,0,0,0,
Matraville,Southern Suburbs,"10,000",2036,"Australian 18.0%, English 17.9%, Chinese 8.7%, Irish 8.6%, Scottish 4.4%","$1,600,000.00","$1,850,000.00",15.63%,"$1,000.00","$910,000.00",$570.00,13%,12.1,45 minutes,25 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Moorebank,Western Suburbs,"10,000",2170,"Australian 18.3%, English 16.3%, Lebanese 5.0%, Greek 4.9%, Italian 4.8%","$900,000.00","$1,050,000.00",16.67%,$565.00,"$580,000.00",$475.00,3%,9.8,120 minutes,40 minutes,Liverpool,,,0,0,0,0,0,0,0,0,0,0,0,
Mount Pritchard,Western Suburbs,"10,000",2170,"Vietnamese 15.5%, Australian 12.5%, English 11.3%, Chinese 6.9%, Italian 4.8%","$640,000.00","$750,000.00",17.19%,$430.00,,$360.00,10%,15.3,80 minutes,45 minutes,Cabramatta,,,0,0,0,0,0,0,0,0,0,0,0,
Potts Point,Inner East,"10,000",2011,"English 20.9%, Australian 11.3%, Irish 8.9%, Scottish 5.9%, Italian 3.0%","$3,400,000.00","$4,200,000.00",23.53%,$850.00,"$770,000.00",$540.00,1%,,15 minutes,12 minutes,Kings Cross,,,0,0,0,0,0,0,0,0,0,0,0,
Vaucluse,Eastern Suburbs,"9,750",2030,"English 20.2%, Australian 16.3%, Irish 7.6%, Scottish 5.7%, South African 4.4%","$5,100,000.00","$6,300,000.00",23.53%,"$2,000.00","$1,250,000.00",$700.00,0%,12.3,40 minutes,25 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Hunters Hill,Lower North Shore,"9,500",2110,"English 22.7%, Australian 20.3%, Irish 11.2%, Scottish 6.8%, Chinese 5.3%","$2,950,000.00","$3,500,000.00",18.64%,"$1,050.00","$875,000.00",$520.00,5%,11,25 minutes,15 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Kings Langley,Western Suburbs,"9,500",2147,"Australian 23.8%, English 23.5%, Irish 8.0%, Scottish 6.0%, Italian 3.9%","$940,000.00","$1,150,000.00",22.34%,$515.00,,$455.00,0%,15.2,60 minutes,40 minutes,Bella Vista (metro),,,0,0,0,0,0,0,0,0,0,0,0,
Kingswood,Western Suburbs,"9,500",2747,"English 24.1%, Australian 24.0%, Irish 7.0%, Scottish 5.1%, Indian 4.5%","$620,000.00","$740,000.00",19.35%,$390.00,"$420,000.00",$360.00,11%,11,60 minutes,50 minutes,Kingswood,,,0,0,0,0,0,0,0,0,0,0,0,
Lurnea,Western Suburbs,"9,500",2170,"Australian 14.7%, Lebanese 13.3%, English 12.3%, Iraqi 5.2%, Vietnamese 3.2%","$640,000.00","$800,000.00",25.00%,$440.00,"$495,000.00",$395.00,16%,10.1,80 minutes,40 minutes,Liverpool,,,0,0,0,0,0,0,0,0,0,0,0,
Newport,Northern Beaches,"9,500",2106,"English 32.4%, Australian 24.6%, Irish 10.1%, Scottish 8.7%, German 3.1%","$1,800,000.00","$2,100,000.00",16.67%,$920.00,"$950,000.00",$590.00,0%,11.5,75 minutes,50 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Bass Hill,Western Suburbs,"9,250",2197,"Lebanese 20.9%, Australian 13.5%, English 11.0%, Vietnamese 7.9%, Italian 4.3%","$790,000.00","$900,000.00",13.92%,$570.00,,$470.00,12%,14.3,70 minutes,40 minutes,,,,0,0,0,0,0,0,0,0,0,0,0,
Plumpton,Western Suburbs,"9,250",2761,"Filipino 18.7%, Australian 14.0%, English 11.5%, Indian 8.0%, Pakistani 3.6%","$635,000.00","$730,000.00",14.96%,$430.00,"$500,000.00",$425.00,0%,13.5,80 minutes,40 minutes,Blacktown,,,0,0,0,0,0,0,0,0,0,0,0,
Stanhope Gardens,Western Suburbs,"9,250",2768,"Australian 17.2%, English 16.6%, Indian 11.3%, Filipino 7.0%, Chinese 5.5%","$900,000.00","$1,100,000.00",22.22%,$585.00,"$670,000.00",$430.00,0%,10,85 minutes,50 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Belrose,Northern Beaches,"9,000",2085,"English 29.2%, Australian 23.0%, Irish 9.2%, Scottish 7.0%, Armenian 2.9%","$1,550,000.00","$1,800,000.00",16.13%,$975.00,"$570,000.00",$470.00,0%,14.6,50 minutes,30 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Berala,Western Suburbs,"9,000",2141,"Chinese 30.0%, Australian 7.3%, English 6.8%, Vietnamese 4.9%, Lebanese 4.5%","$875,000.00","$1,050,000.00",20.00%,$490.00,"$460,000.00",$370.00,5%,16.6,35 minutes,30 minutes,Berala,,,0,0,0,0,0,0,0,0,0,0,0,
Eastlakes,Southern Suburbs,"7,250",2018,"Australian 10.5%, Chinese 9.8%, English 9.0%, Greek 7.2%, Bangladeshi 5.2%","$1,450,000.00","$1,650,000.00",13.79%,$750.00,"$590,000.00",$475.00,20%,11.4,30 minutes,20 minutes,Mascot,,,,0,0,0,0,0,0,0,0,0,0,
Bradbury,South West,"9,000",2560,"Australian 26.3%, English 24.7%, Irish 7.9%, Scottish 6.0%, German 2.5%","$555,000.00","$650,000.00",17.12%,$395.00,"$460,000.00",$310.00,6%,12.2,90 minutes,55 minutes,Campbelltown,,,0,0,0,0,0,0,0,0,0,0,0,
Freshwater,Northern Beaches,"9,000",2096,"English 29.7%, Australian 23.2%, Irish 10.4%, Scottish 8.0%, Italian 3.3%","$2,450,000.00","$3,100,000.00",26.53%,"$1,300.00","$840,000.00",$600.00,1%,13.3,60 minutes,30 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Wattle Grove,Western Suburbs,"9,000",2173,"Australian 23.0%, English 19.5%, Irish 6.3%, Indian 5.7%, Scottish 4.6%","$800,000.00","$890,000.00",11.25%,$525.00,,$485.00,1%,12.6,70 minutes,40 minutes,Holsworthy,,,0,0,0,0,0,0,0,0,0,0,0,
Brighton-le-Sands,Southern Suburbs,"8,500",2216,"Greek 13.8%, English 11.6%, Australian 11.1%, Italian 5.0%, Irish 4.9%","$1,300,000.00","$1,600,000.00",23.08%,$695.00,"$670,000.00",$450.00,3%,,40 minutes,20 minutes,Rockdale,,,0,0,0,0,0,0,0,0,0,0,0,
Colyton,Western Suburbs,"8,500",2760,"Australian 24.4%, English 20.9%, Irish 5.5%, Scottish 4.4%, Indian 2.6%","$590,000.00",,-100.00%,$390.00,"$505,000.00",$330.00,3%,14.6,90 minutes,45 minutes,St Marys,,,0,0,0,0,0,0,0,0,0,0,0,
Emu Plains,Western Suburbs,"8,500",2750,"Australian 29.1%, English 28.8%, Irish 10.2%, Scottish 6.9%, German 2.9%","$720,000.00","$810,000.00",12.50%,$470.00,"$675,000.00",$440.00,3%,14.1,65 minutes,55 minutes,Emu Plains,,,0,0,0,0,0,0,0,0,0,0,0,
Forestville,Northern Beaches,"8,500",2087,"English 26.8%, Australian 21.4%, Irish 8.1%, Scottish 6.7%, Chinese 5.6%","$1,600,000.00","$2,000,000.00",25.00%,$870.00,"$930,000.00",$600.00,2%,13.9,40 minutes,25 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Thornleigh,Upper North Shore,"8,500",2120,"English 23.3%, Australian 21.8%, Chinese 9.0%, Irish 7.9%, Scottish 6.1%","$1,200,000.00","$1,500,000.00",25.00%,$610.00,"$900,000.00",$540.00,3%,12.5,50 minutes,35 minutes,Thornleigh,,,0,0,0,0,0,0,0,0,0,0,0,
Narrabeen,Northern Beaches,"8,250",2101,"English 31.4%, Australian 22.6%, Irish 9.6%, Scottish 8.0%, German 2.8%","$2,250,000.00","$2,650,000.00",17.78%,"$1,050.00","$855,000.00",$580.00,1%,9.8,70 minutes,45 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Balgowlah,Northern Beaches,"8,000",2093,"English 30.2%, Australian 20.4%, Irish 10.9%, Scottish 9.1%, German 2.6%","$2,150,000.00","$2,600,000.00",20.93%,"$1,050.00","$1,100,000.00",$620.00,1%,10.4,40 minutes,25 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Bella Vista,Hills Shire,"8,000",2153,"Chinese 13.8%, English 13.5%, Australian 13.0%, Indian 11.4%, Irish 4.8%","$1,600,000.00","$2,000,000.00",25.00%,$750.00,"$825,000.00",$610.00,0%,13.3,50 minutes,30 minutes,Bella Vista (metro),,,0,0,0,0,0,0,0,0,0,0,0,
Collaroy,Northern Beaches,"8,000",2097,"English 27.9%, Australian 23.7%, Irish 9.7%, Scottish 7.5%, Italian 4.8%","$2,400,000.00","$3,000,000.00",25.00%,"$1,100.00","$880,000.00",$575.00,0%,16.6,60 minutes,40 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Gordon,Upper North Shore,"8,000",2072,"Chinese 20.5%, English 20.4%, Australian 14.7%, Irish 6.1%, Scottish 5.7%","$2,300,000.00","$2,800,000.00",21.74%,"$1,000.00","$940,000.00",$600.00,0%,16.2,30 minutes,30 minutes,Gordon,,,0,0,0,0,0,0,0,0,0,0,0,
North Rocks,Hills Shire,"8,000",2151,"English 20.1%, Australian 19.4%, Chinese 14.9%, Irish 6.8%, Scottish 5.5%","$1,250,000.00","$1,500,000.00",20.00%,$590.00,"$605,000.00",$495.00,0%,17.1,60 minutes,35 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Rosemeadow,South West,"8,000",2560,"Australian 24.9%, English 22.4%, Irish 5.5%, Scottish 5.3%, German 2.4%","$550,000.00","$690,000.00",25.45%,$400.00,"$440,000.00",$330.00,11%,12.7,105 minutes,60 minutes,Campbelltown,,,0,0,0,0,0,0,0,0,0,0,0,
Cromer,Northern Beaches,"7,750",2099,"English 29.8%, Australian 25.0%, Irish 8.4%, Scottish 7.0%, Italian 4.8%","$1,550,000.00","$2,000,000.00",29.03%,$840.00,"$725,000.00",$540.00,1%,13,75 minutes,40 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Dural,Hills Shire,"7,750",2158,"English 23.9%, Australian 20.4%, Irish 7.5%, Chinese 6.8%, Scottish 6.4%","$1,500,000.00","$2,000,000.00",33.33%,$700.00,"$735,000.00",$510.00,0%,12.8,80 minutes,40 minutes,Castle Hill (metro),,,0,0,0,0,0,0,0,0,0,0,0,
Lalor Park,Western Suburbs,"7,750",2147,"Australian 25.4%, English 22.2%, Irish 6.5%, Scottish 5.5%, Filipino 2.7%","$650,000.00","$760,000.00",16.92%,$400.00,,$380.00,18%,11.9,60 minutes,40 minutes,Seven Hills,,,0,0,0,0,0,0,0,0,0,0,0,
Marayong,Western Suburbs,"7,750",2148,"Australian 18.6%, English 17.3%, Indian 9.3%, Filipino 7.3%, Irish 4.9%","$640,000.00","$775,000.00",21.09%,$405.00,,$390.00,12%,13.4,50 minutes,40 minutes,Marayong,,,0,0,0,0,0,0,0,0,0,0,0,
Warriewood,Northern Beaches,"7,600",2102,"English 29.1%, Australian 23.5%, Irish 8.6%, Scottish 6.8%, Italian 3.5%","$1,500,000.00","$1,850,000.00",23.33%,"$1,000.00","$935,000.00",$725.00,0%,10.9,70 minutes,45 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Ambarvale,South West,"7,500",2560,"Australian 24.1%, English 22.9%, Irish 5.7%, Scottish 4.5%, Filipino 2.5%","$540,000.00","$650,000.00",20.37%,$380.00,"$360,000.00",$330.00,18%,16.2,90 minutes,55 minutes,,,,0,0,0,0,0,0,0,0,0,0,0,
Haymarket,Sydney City,"7,500",2000,"Chinese 31.9%, Thai 18.3%, Indonesian 5.6%, English 5.1%, Korean 4.8%",,,#DIV/0!,,"$1,050,000.00",$825.00,0%,,5 minutes,5 minutes,Central,,,0,0,0,0,0,0,0,0,0,0,0,
Pendle Hill,Western Suburbs,"7,500",2145,"Indian 20.7%, Australian 12.4%, English 10.5%, Sri Lankan 4.0%, Chinese 3.8%","$875,000.00","$980,000.00",12.00%,$475.00,"$480,000.00",$415.00,10%,14.3,40 minutes,35 minutes,Pendle Hill,,,0,0,0,0,0,0,0,0,0,0,0,
Pennant Hills,Hills Shire,"7,500",2120,"English 22.6%, Australian 18.7%, Chinese 11.9%, Irish 8.6%, Scottish 7.0%","$1,400,000.00","$1,800,000.00",28.57%,$660.00,"$770,000.00",$490.00,2%,12.6,50 minutes,35 minutes,Pennant Hills,,,0,0,0,0,0,0,0,0,0,0,0,
Woollahra,Eastern Suburbs,"7,500",2025,"English 25.4%, Australian 16.7%, Irish 10.7%, Scottish 8.1%, Chinese 3.0%","$3,000,000.00","$3,900,000.00",30.00%,"$1,375.00","$1,150,000.00",$700.00,0%,13.3,20 minutes,10 minutes,Edgecliff,,,0,0,0,0,0,0,0,0,0,0,0,
Illawong,Sutherland Shire,"7,250",2234,"English 22.9%, Australian 22.0%, Irish 7.6%, Scottish 5.9%, Lebanese 5.5%","$1,200,000.00","$1,500,000.00",25.00%,$775.00,"$745,000.00",$510.00,0%,16,60 minutes,40 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Mount Colah,Northern Suburbs,"7,250",2079,"English 26.9%, Australian 25.4%, Irish 8.8%, Scottish 7.1%, Chinese 4.0%","$1,000,000.00","$1,250,000.00",25.00%,$620.00,"$630,000.00",$445.00,1%,15.9,55 minutes,40 minutes,Mount Colah,,,0,0,0,0,0,0,0,0,0,0,0,
Riverstone,Hills Shire,"7,250",2765,"Australian 28.4%, English 24.8%, Irish 6.1%, Scottish 5.1%, Italian 3.5%","$725,000.00","$810,000.00",11.72%,$510.00,"$655,000.00",$370.00,6%,10.1,60 minutes,50 minutes,Riverstone,,,0,0,0,0,0,0,0,0,0,0,0,
Seaforth,Northern Beaches,"7,250",2092,"English 30.7%, Australian 21.3%, Irish 10.2%, Scottish 7.5%, Chinese 3.6%","$2,400,000.00","$2,800,000.00",16.67%,"$1,300.00","$1,300,000.00",$730.00,3%,11.7,55 minutes,30 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Allambie Heights,Northern Beaches,"7,100",2100,"English 29.8%, Australian 24.7%, Irish 10.0%, Scottish 8.0%, Italian 3,5%","$1,600,000.00","$1,800,000.00",12.50%,$850.00,,$595.00,1%,13,55 minutes,30 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
